Big Model,Small Model,Dataset,Estimator,HC_File,Avg_Experts_At_Max_HC,Median_Experts_At_Max_HC,Avg_Experts_At_Max_HC_Pmin_rm,Median_Experts_At_Max_HC_Pmin_rm,Avg_Significant_Pvals_Per_Token,Median_Significant_Pvals_Per_Token,Pearson_Max_Per_Row_Big,Pearson_Inverse_Min_P_Big,Pearson_HC_Pmin_rm_Big,Pearson_Max_Per_Row_Small,Pearson_Inverse_Min_P_Small,Pearson_HC_Pmin_rm_Small,Pearson_Max_Per_Row_Diff,Pearson_Inverse_Min_P_Diff,Pearson_HC_Pmin_rm_Diff,Difference_Pearson_Max_Per_Row,Difference_Pearson_Inverse_Min_P,Difference_Pearson_HC_Pmin_rm,Partial_Pearson_Max_Per_Row_Big,Partial_Pearson_HC_Pmin_rm_Big,Partial_Pearson_Max_Per_Row_Small,Partial_Pearson_HC_Pmin_rm_Small,Partial_Pearson_Max_Per_Row_Diff,Partial_Pearson_HC_Pmin_rm_Diff,Partial_Pearson_Max_Per_Row_diff_p_min,Partial_Pearson_HC_Pmin_rm_diff_p_min,Pearson_Max_Per_Row_Big_Q50,Pearson_Inverse_Min_P_Big_Q50,Pearson_HC_Pmin_rm_Big_Q50,Partial_Pearson_Max_Per_Row_Big_Q50,Partial_Pearson_HC_Pmin_rm_Big_Q50,Pearson_Max_Per_Row_Small_Q50,Pearson_HC_Pmin_rm_Small_Q50,Partial_Pearson_Max_Per_Row_Small_Q50,Partial_Pearson_HC_Pmin_rm_Small_Q50,Pearson_Max_Per_Row_Diff_Q50,Pearson_HC_Pmin_rm_Diff_Q50,Partial_Pearson_Max_Per_Row_Diff_Q50,Partial_Pearson_HC_Pmin_rm_Diff_Q50,Pearson_Max_Per_Row_Big_Q90,Pearson_Inverse_Min_P_Big_Q90,Pearson_HC_Pmin_rm_Big_Q90,Partial_Pearson_Max_Per_Row_Big_Q90,Partial_Pearson_HC_Pmin_rm_Big_Q90,Pearson_Max_Per_Row_Small_Q90,Pearson_HC_Pmin_rm_Small_Q90,Partial_Pearson_Max_Per_Row_Small_Q90,Partial_Pearson_HC_Pmin_rm_Small_Q90,Pearson_Max_Per_Row_Diff_Q90,Pearson_HC_Pmin_rm_Diff_Q90,Partial_Pearson_Max_Per_Row_Diff_Q90,Partial_Pearson_HC_Pmin_rm_Diff_Q90,Avg_HC_Max_Per_Row,Median_HC_Max_Per_Row,Avg_HC_Pmin_rm_Max_Per_Row,Median_HC_Pmin_rm_Max_Per_Row,Avg_Inverse_Min_P,Median_Inverse_Min_P
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_per_expert_standard_1_new.parquet,7.536087605774017,2.0,9.710876057740169,3.0,0.33807864609258337,0.0,0.0905443627063501,0.03466177493899829,0.04367813554088382,0.10223864170383344,0.034708704917464174,0.05616568237916101,-0.04401162195813384,-0.002303119181247433,-0.04371059751265123,0.13455598466448393,0.03696489412024572,0.08738873305353505,0.0720811215788458,0.02349408475375531,0.08327279902809819,0.035506629096880495,-0.0410483883815101,-0.04077252177179582,-0.0437597996967166,-0.04341214342407873,0.09793430090721836,0.05112345451550877,0.0565925442453394,0.07615309668409735,0.03271278547295253,0.11455151812569643,0.0730960830271721,0.09587347273624322,0.05225904977373633,-0.08493338236407477,-0.0732505164895246,-0.08972701972858875,-0.07722620128041828,-0.03133032603138292,0.01151002657221775,-0.060925391563557196,-0.03346636898358532,-0.0642206396571126,0.005655216483235027,-0.022980337768113306,0.005002344846243079,-0.024951372288746745,-0.09959972250346631,-0.0979281577551236,-0.10346457886774109,-0.10117390087635901,1.0300475270793599,0.934535424070961,0.9910521050638821,0.0,3.409656545545047e+297,199.81524558667132
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_per_expert_hat_1_new.parquet,9.193255350920856,3.0,13.507765057242409,12.0,0.33807864609258337,0.0,0.07316085817258705,0.03466177493899829,0.030105553863977823,0.08297178885422049,0.034708704917464174,0.04378838986566444,-0.03674991811757161,-0.002303119181247433,-0.04679380224815409,0.10991077629015866,0.03696489412024572,0.07689935611213192,0.05949469432696621,0.01244712038642696,0.0687987905686067,0.025700219990351693,-0.034099005345282006,-0.0441612246183454,-0.036334938016382504,-0.046467223252744605,0.07788483326816426,0.05112345451550877,0.04070174096526709,0.06254158504563839,0.020540777494631283,0.09358056400245988,0.059594235015604916,0.0799542089330868,0.041830227466218145,-0.07623318133696906,-0.0772801490395593,-0.07794016269864577,-0.07998238908775314,-0.01547319508217158,0.01151002657221775,-0.05940058374899212,-0.016212024121310297,-0.06177059213322672,0.012482863362694203,-0.020846450484363593,0.012144983297042666,-0.02230285980967944,-0.07649749187940305,-0.09987009677311641,-0.07751874716108428,-0.10209543542493525,0.2619055091224784,0.884852468544029,0.6365900926469373,0.0,3.409656545545047e+297,199.81524558667132
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_map_agg_standard_1_new.parquet,6.62391737182678,5.0,7.078048780487805,5.0,0.33807864609258337,0.0,-0.19302083242086615,-0.032018032739493746,-0.16792351411914835,-0.1953807442974383,-0.029280646191687354,-0.1699563369883882,0.01971598124424439,-0.0070030285962631375,0.01708596177629894,-0.21273681366511055,-0.02501500414323061,-0.1850094758954473,-0.014480020030375506,0.03236239557655956,-0.002465777578517964,0.04312715353962498,-0.03778475775125593,-0.036373600561051926,0.014524988283672184,0.01176795521286747,-0.1676214421813542,-0.03160834243449216,-0.13848088357260324,-0.023276645941585346,0.03800208390732611,-0.1648968282465399,-0.13551603337941653,-0.008047315882918703,0.05174540524922954,0.03621137579683539,0.02741570523068782,-0.04638235688497394,-0.0576332174836138,-0.07993504988375744,-0.06733988172728778,-0.06785145540643224,-0.06170427576987599,-0.027989090259049214,-0.09535992342345675,-0.08185059832428976,-0.04439128833064588,-0.010343087200998947,0.055288496435450724,0.049483967190067785,-0.03991861559927507,-0.04568206897264181,3.402245983243496,3.4929310434979817,2.6766412792230074,2.6568014515808147,2617.8779363826266,835.0793048963138
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_map_agg_hat_1_new.parquet,9.265281234444997,6.0,9.44056744649079,6.0,0.33807864609258337,0.0,-0.19781912778413507,-0.032018032739493746,-0.17854397595564858,-0.1972307367040555,-0.029280646191687354,-0.17922746950112928,0.010332793384004162,-0.0070030285962631375,0.013313938830888048,-0.20815192116813924,-0.02501500414323061,-0.19185791478653663,-0.05269269603852828,-0.014325471284724096,-0.040196657154120116,-0.0037538118502339645,-0.03720952720920511,-0.03315984028911338,0.003393625350890228,0.007596793047071663,-0.18363710180138154,-0.03160834243449216,-0.1520198195480416,-0.07336304919275814,-0.011646355137735103,-0.17834516556917385,-0.1476468490521501,-0.05834345586952661,0.002044127883439601,0.03159110149196462,0.026179434915066684,-0.03226644028487529,-0.04417636265550896,-0.09004095386039605,-0.06733988172728778,-0.0788031424989431,-0.07070294971316442,-0.05084263613533992,-0.10618523370401117,-0.09511121756382535,-0.06426163485535896,-0.04285113617360957,0.05881007430297021,0.05761016455444984,-0.008017787994300066,-0.015225507024004442,1.7962117198837233,1.869735787185272,1.5521251842976325,1.6012872298273677,2617.8779363826266,835.0793048963138
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_per_expert_standard_1_new.parquet,9.826953708312594,2.0,13.824539571926332,19.0,4.977600796416127e-05,0.0,0.0009314173697497234,-0.0043077613327407865,-0.063585958883928,0.00040646415591379277,-0.00456315768212059,-0.05975485032541575,0.0016659234423830709,0.0011056684131922159,-0.008637030921923215,-0.0007345060726333475,-0.005413429745933002,-0.05494892796200478,-0.04606845745283182,-0.08724220075455495,-0.04877244151610852,-0.0843023887834278,0.0116139739728216,-0.004342825181727912,0.0005751821766944106,-0.00911841273448291,0.021037949684185195,-0.0016304674938645688,-0.04952137335767179,-0.026815472474290822,-0.06842517058571464,0.020207641261876394,-0.041665379891249785,-0.029348809932103852,-0.06099567908006629,-0.00283443339269267,-0.013997841191581921,0.016085494064355534,-0.007383322120954675,-0.056535407123685676,-0.015911023391946562,-0.054209967263842196,-0.10630644227503155,-0.0647224438980572,-0.049737054791857985,-0.0484422392572616,-0.1286994051603911,-0.06875931818882028,-0.010800202633674764,-0.008239534683790739,0.07868844370667258,0.020792445895293363,-1.163100635574056,-1.0897879677869287,0.039886841399527966,0.0,4.977600796416127e+295,26.68786496308928
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_per_expert_hat_1_new.parquet,13.8423593827775,19.0,19.972175211548034,26.0,4.977600796416127e-05,0.0,-0.019339014015033323,-0.0043077613327407865,-0.06597127941645514,-0.01757944563779945,-0.00456315768212059,-0.0621465818070092,-0.004578483823406495,0.0011056684131922159,-0.008468091149459348,-0.014760530191626828,-0.005413429745933002,-0.0575031882669958,-0.06413066588601478,-0.08703980728404262,-0.06413407768845081,-0.08402201920436758,0.0038796986448530963,-0.004609813036245537,-0.005537713866141639,-0.008770348565938963,-0.0063506408165056065,-0.0016304674938645688,-0.05159710193393459,-0.05332949221877463,-0.07012230675812268,-0.0023951123467668223,-0.043481760249623885,-0.050450087163732574,-0.06242162352493616,-0.012120584904636418,-0.014339602819941184,0.00439231160848019,-0.007869418653617774,-0.08044298616497673,-0.015911023391946562,-0.05797129698968818,-0.13148714067350806,-0.06813876217648797,-0.07070451436975074,-0.05064165430883073,-0.14685130225442272,-0.07015995910674812,-0.015551245340767513,-0.012085177749444209,0.062480229571982605,0.01559256335001305,-1.8297241444047248,-1.4102563020401777,0.036214989140302085,0.0,4.977600796416127e+295,26.68786496308928
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_map_agg_standard_1_new.parquet,15.28887506222001,19.0,16.013091090094573,21.0,4.977600796416127e-05,0.0,-0.17125943437581537,-0.14078819319042202,-0.060817505480827594,-0.1669736630638352,-0.14141040489443266,-0.050750726164783065,-0.0034541630230647234,0.010771867554023132,-0.029283349068454163,-0.16780527135275064,-0.15156006074444514,-0.031534156412373435,-0.03308255775308839,0.03955051542342568,-0.016181767805788255,0.05628117648686291,-0.052504971903949336,-0.05592320403370758,-0.011855083140163609,-0.03412778377143771,-0.156711592813419,-0.14475333373134935,-0.04020100240090376,-0.0488743781694201,0.04771963187585327,-0.14658782941866144,-0.023898059312457254,-0.027532573505768126,0.06957037020840702,0.007318207482881273,-0.046127017313361336,-0.06075731041139524,-0.0882799093172923,-0.09587248550711513,-0.12983444985187081,-0.05707046843561286,-0.10671242243642308,-0.042375136950358494,-0.11169980967407794,-0.04972781025357111,-0.1010218918757725,-0.017345565097752057,0.0587790300221091,-0.01225504558124398,-0.0006179081226704552,-0.06446231927463754,0.08920659633165649,-0.0023733719720503772,0.4257614178718975,0.0,35.910357296203436,33.828453094351815
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_map_agg_hat_1_new.parquet,15.951045296167248,20.0,17.179566948730713,23.0,4.977600796416127e-05,0.0,-0.20851476694206522,-0.14078819319042202,-0.06260052432180632,-0.20795852709566587,-0.14141040489443266,-0.052307278537857424,0.01110148947947876,0.010771867554023132,-0.029916399301969487,-0.21961625642154398,-0.15156006074444514,-0.032684125019836835,-0.08241596216287465,0.03862103430308191,-0.0694418677838668,0.05570586662097787,-0.03719344003936079,-0.0570105987511864,0.00419196243588507,-0.03476652510499021,-0.19529538237282904,-0.14475333373134935,-0.042684073408525175,-0.10558765296247061,0.04598948231401332,-0.19139854439563903,-0.02610850584759608,-0.0923818718202667,0.06826083823527666,0.039659635235141204,-0.046404089602131965,-0.017499524970255906,-0.08927280929871428,-0.08189007391042287,-0.12983444985187081,-0.059629538909625426,-0.08811600409005023,-0.04536400972224288,-0.11125605430936467,-0.05258385211539961,-0.10474799971494578,-0.02027645261317443,0.09486609801278274,-0.01103976728068341,0.05964829955192238,-0.06419365489457401,-0.12617629043465803,-0.0023737393349808583,0.37936846679931513,0.0,35.910357296203436,33.828453094351815
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentT,hc_values_per_expert_standard_1_new.parquet,8.599104031856646,2.0,11.27297162767546,3.0,0.03437033349925336,0.0,0.053615735747635306,0.0005936232119998913,-0.030478717304874014,0.05837263835529855,0.0013502756503851348,-0.026805240515951678,-0.018943343803038103,-0.0025212545782825873,-0.010172095667563443,0.07255907955067341,0.0031148777902824786,-0.02030662163731057,-0.17081227879986816,-0.17324098127126614,-0.17886549295095658,-0.17706214931295947,0.03549937150953347,0.021943459463112165,-0.013499480008291272,-0.005628180392591735,0.05956435728870717,0.004918860613032292,-0.0010135367148738196,-0.16187258761174175,-0.13637015445400474,0.06630603569532798,0.0015154241611723632,-0.16445819396152295,-0.14081487637844584,-0.03987121701925195,-0.008580918593244873,0.051698016975730336,0.05138937752465741,-0.04896592984917442,-0.013011493594160805,-0.07528426758546335,-0.08259500246591144,-0.0882367477451927,-0.023353383718625203,-0.049722888601607965,-0.0899717504726591,-0.08174865233165206,-0.06494113989341774,-0.06090576656955504,0.033056490525369436,-0.0053550949138536155,-0.3236950887558476,-0.4065950240443589,0.2712608658142671,0.0,60289.91543649999,38.64186687301607
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentT,hc_values_per_expert_hat_1_new.parquet,11.282354405176704,3.0,16.47702837232454,25.0,0.03437033349925336,0.0,0.05091413215654038,0.0005936232119998913,-0.04414961079561404,0.05761333092136838,0.0013502756503851348,-0.04024593892568415,-0.025153327254663457,-0.0025212545782825873,-0.010080341964213497,0.07606745941120384,0.0031148777902824786,-0.034069268831400545,-0.1164016192642259,-0.18384985651798355,-0.11827687164994405,-0.1871030948560601,0.012504698618293017,0.020693064697235225,-0.021582923862198775,-0.005687981921244936,0.049653637356399154,0.004918860613032292,-0.017355580880044307,-0.11920319462326692,-0.14877048499513157,0.060899949391716064,-0.013037167928066501,-0.11287919626449174,-0.15058979089872376,-0.05294325390362456,-0.010387645916764856,0.009622471897618619,0.04558767166141614,-0.046388672556423996,-0.013011493594160805,-0.07515758403156342,-0.06446551435615469,-0.08631228910062519,-0.023779654790687048,-0.048274034039043706,-0.07052281912274536,-0.07725493207832718,-0.05685770423386498,-0.06465061286691118,0.026649035214102113,-0.012910917702385017,-0.9560362865015077,-0.4559141884282662,0.22071742440873776,0.0,60289.91543649999,38.64186687301607
