Big Model,Small Model,Dataset,Estimator,HC_File,Pearson_Max_Per_Row_Big,Pearson_Max_Per_Row_Small,Pearson_Max_Per_Row_Diff,Difference_Pearson_Max_Per_Row,Spearman_Max_Per_Row_Big,Spearman_Max_Per_Row_Small,Spearman_Max_Per_Row_Diff,Difference_Spearman_Max_Per_Row,Partial_Pearson_Max_Per_Row_Big,Partial_Pearson_Max_Per_Row_Small,Partial_Pearson_Max_Per_Row_Diff,Pearson_Max_Per_Row_Big_Q50,Partial_Pearson_Max_Per_Row_Big_Q50,Pearson_Max_Per_Row_Small_Q50,Partial_Pearson_Max_Per_Row_Small_Q50,Pearson_Max_Per_Row_Diff_Q50,Partial_Pearson_Max_Per_Row_Diff_Q50,Pearson_Max_Per_Row_Big_Q90,Partial_Pearson_Max_Per_Row_Big_Q90,Pearson_Max_Per_Row_Small_Q90,Partial_Pearson_Max_Per_Row_Small_Q90,Pearson_Max_Per_Row_Diff_Q90,Partial_Pearson_Max_Per_Row_Diff_Q90,Avg_HC_Max_Per_Row,Median_HC_Max_Per_Row
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_per_expert_standard_1_new.parquet,0.0052059927712858264,0.020183477916960322,-0.04950098176766471,0.054706974538950535,-0.028219515609059876,8.642761694700392e-05,-0.04412589836046075,0.015906382751400872,-0.012735524605091126,0.0018520868916191368,-0.04699526566220413,0.01590519529214595,-0.0047133378156413415,0.03738279391074184,0.019194920643273904,-0.07956586025320198,-0.08221541786341038,-0.09280782623411209,-0.09592294633935915,-0.05892722573679044,-0.06139347277414451,-0.08175996746044459,-0.0831292835535702,2.0020714886330127,1.5397493135531777
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_per_expert_hat_1_new.parquet,-0.042270498070676385,-0.029375546819982633,-0.03971949548327153,-0.0025510025874048575,-0.06562228075327764,-0.04121849412497591,-0.03987356978030883,-0.02574871097296881,-0.05271874977810363,-0.04017493888798122,-0.03786293025868188,-0.033747767735690534,-0.04453191369972648,-0.013658534291951064,-0.023395635203805887,-0.06114981945823249,-0.061632396378291585,-0.09597587210484959,-0.0968707498305093,-0.07300455450407264,-0.07390723200285088,-0.05054724630491433,-0.05039403918267892,1.4608040291971183,1.2405427123118684
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_map_agg_hat_1_new.parquet,-0.2075271639798077,-0.20311865269272644,-0.0016085820486455935,-0.2059185819311621,-0.16882248716435952,-0.1710985630480859,-0.001955005124817667,-0.16686748203954185,-0.11465601707328257,-0.1041319731395608,-0.027433482569411402,-0.20042566551593938,-0.12577671673881538,-0.1886547044393069,-0.10887681321571425,0.01348123271746848,-0.024747813852203534,-0.10312556460067261,-0.08302221892463413,-0.11452876204463387,-0.07808992929949068,0.04738341409462925,-0.0020053363878398582,3.045655917211538,2.969879053923965
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_map_agg_standard_1_new.parquet,-0.24636840494075957,-0.24478263940205403,0.010067987567594743,-0.2564363925083543,-0.1882998616379684,-0.19515931421581054,0.0064191009410863,-0.19471896257905472,-0.14285057348229796,-0.13053103198308902,-0.031634305022277036,-0.2270198695350558,-0.15148952593963944,-0.2189075954961402,-0.1335268416366951,0.033554821056857295,-0.021544164840817673,-0.10562872954429711,-0.09766078654265135,-0.12229389830033242,-0.09299623496747841,0.06258269097417737,0.0008438233780767997,4.029125297514715,4.100844626009299
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_per_expert_standard_1_new.parquet,-0.147610946011167,-0.13950991348316127,-0.017447684445232446,-0.13016326156593455,-0.16987742833573513,-0.16168797558713574,-0.012986787387599591,-0.15689064094813554,-0.1668714085132816,-0.15941659310446493,-0.014291664030025169,-0.13073460791878228,-0.14846792001746537,-0.11767067196841274,-0.13572354296682446,-0.010070338091622331,-0.004252645630251011,-0.13185631319241486,-0.13841457453955547,-0.12689142605185744,-0.1391684670018375,0.005503053870915157,0.022203339303779924,0.821555990128185,0.4358767193260812
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_per_expert_hat_1_new.parquet,-0.15600749575243247,-0.1492101681281266,-0.012646415831784746,-0.14336107992064773,-0.1740197881044929,-0.16656275909510626,-0.011831061409971986,-0.16218872669452092,-0.1751522110355436,-0.16902290498107375,-0.009461176644098615,-0.14136209533799193,-0.1594138544418005,-0.1300875520233909,-0.14849486537991363,-0.000902172421920366,0.0050715248723607834,-0.1364669106170292,-0.1434657570497222,-0.13328624308467077,-0.14626716523800523,0.0112129845337281,0.028721158378459646,0.6189121536213168,0.42209219717854674
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_map_agg_hat_1_new.parquet,-0.20776233600237715,-0.2106665826490181,0.02241726270590963,-0.23017959870828678,-0.15629284432110035,-0.15941513995040157,0.0004403346496145127,-0.15673317897071487,-0.10398694217679114,-0.10019133488825237,-0.006520722896232278,-0.19708348630552325,-0.1175028513236439,-0.19368729545554383,-0.1084531901088717,0.041901213681589194,4.887042774764215e-05,-0.06615551164324626,-0.05481348542365522,-0.09065169179470964,-0.06477088896783799,0.07881576329802617,0.03600860538634415,2.54529365716837,2.8700242774416513
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_map_agg_standard_1_new.parquet,-0.19982279570820854,-0.20047749243894947,0.014538669359900013,-0.21436146506810855,-0.15697532016371468,-0.15989978662865373,0.00021356727589224726,-0.15718888743960693,-0.09911048587387022,-0.09295248716801827,-0.014378497285572603,-0.19186746254589454,-0.11360090598181032,-0.18517965552492013,-0.10078817559409159,0.028948697368122243,-0.014003249625071178,-0.0802418546141607,-0.07396391787047511,-0.09976608752781234,-0.07749927970454909,0.06688659083273613,0.020665984308158292,2.80500159928221,2.9797317308432003
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentT,hc_values_per_expert_standard_1_new.parquet,-0.09955234699714677,-0.08866903484398177,-0.0295628595744066,-0.06998948742274017,-0.13693241161898545,-0.11784862415591414,-0.02663491960228644,-0.11029749201669901,-0.20330267153254766,-0.19667696155460562,-0.01018837252505008,-0.08805602526170808,-0.1845870916905389,-0.07207380701247534,-0.17146728860301275,-0.031941108869054206,0.0033974051894555273,-0.1413715248989334,-0.15067258422674834,-0.1203688943267939,-0.14250536233072758,-0.03828736906472432,-0.000902667179015773,1.2195732348266022,0.9848956866069323
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentT,hc_values_per_expert_hat_1_new.parquet,-0.10135302507946076,-0.09097153424356388,-0.027803499578096406,-0.07354952550136434,-0.14309990141563178,-0.12510341185771465,-0.02665982211000234,-0.11644007930562944,-0.1910091574736129,-0.18455173894967383,-0.010323949115137001,-0.09583928418230156,-0.1788980102526238,-0.07945611797702454,-0.16514315324175927,-0.031220880782779327,-0.00030102294341661167,-0.1382278802510933,-0.14519998835013564,-0.11963037062651981,-0.13834223797162698,-0.03197409387092668,0.0019968522526843733,0.941548932252829,0.9445297259596346
