Big Model,Small Model,Dataset,Estimator,HC_File,Avg_Experts_At_Max_HC,Median_Experts_At_Max_HC,Avg_Experts_At_Max_HC_Pmin_rm,Median_Experts_At_Max_HC_Pmin_rm,Avg_Significant_Pvals_Per_Token,Median_Significant_Pvals_Per_Token,Pearson_Max_Per_Row_Big,Pearson_Inverse_Min_P_Big,Pearson_HC_Pmin_rm_Big,Pearson_Max_Per_Row_Small,Pearson_Inverse_Min_P_Small,Pearson_HC_Pmin_rm_Small,Pearson_Max_Per_Row_Diff,Pearson_Inverse_Min_P_Diff,Pearson_HC_Pmin_rm_Diff,Difference_Pearson_Max_Per_Row,Difference_Pearson_Inverse_Min_P,Difference_Pearson_HC_Pmin_rm,Partial_Pearson_Max_Per_Row_Big,Partial_Pearson_HC_Pmin_rm_Big,Partial_Pearson_Max_Per_Row_Small,Partial_Pearson_HC_Pmin_rm_Small,Partial_Pearson_Max_Per_Row_Diff,Partial_Pearson_HC_Pmin_rm_Diff,Partial_Pearson_Max_Per_Row_diff_p_min,Partial_Pearson_HC_Pmin_rm_diff_p_min,Pearson_Max_Per_Row_Big_Q50,Pearson_Inverse_Min_P_Big_Q50,Pearson_HC_Pmin_rm_Big_Q50,Partial_Pearson_Max_Per_Row_Big_Q50,Partial_Pearson_HC_Pmin_rm_Big_Q50,Pearson_Max_Per_Row_Small_Q50,Pearson_HC_Pmin_rm_Small_Q50,Partial_Pearson_Max_Per_Row_Small_Q50,Partial_Pearson_HC_Pmin_rm_Small_Q50,Pearson_Max_Per_Row_Diff_Q50,Pearson_HC_Pmin_rm_Diff_Q50,Partial_Pearson_Max_Per_Row_Diff_Q50,Partial_Pearson_HC_Pmin_rm_Diff_Q50,Pearson_Max_Per_Row_Big_Q75,Pearson_Inverse_Min_P_Big_Q75,Pearson_HC_Pmin_rm_Big_Q75,Partial_Pearson_Max_Per_Row_Big_Q75,Partial_Pearson_HC_Pmin_rm_Big_Q75,Pearson_Max_Per_Row_Small_Q75,Pearson_HC_Pmin_rm_Small_Q75,Partial_Pearson_Max_Per_Row_Small_Q75,Partial_Pearson_HC_Pmin_rm_Small_Q75,Pearson_Max_Per_Row_Diff_Q75,Pearson_HC_Pmin_rm_Diff_Q75,Partial_Pearson_Max_Per_Row_Diff_Q75,Partial_Pearson_HC_Pmin_rm_Diff_Q75,Pearson_Max_Per_Row_Big_Q85,Pearson_Inverse_Min_P_Big_Q85,Pearson_HC_Pmin_rm_Big_Q85,Partial_Pearson_Max_Per_Row_Big_Q85,Partial_Pearson_HC_Pmin_rm_Big_Q85,Pearson_Max_Per_Row_Small_Q85,Pearson_HC_Pmin_rm_Small_Q85,Partial_Pearson_Max_Per_Row_Small_Q85,Partial_Pearson_HC_Pmin_rm_Small_Q85,Pearson_Max_Per_Row_Diff_Q85,Pearson_HC_Pmin_rm_Diff_Q85,Partial_Pearson_Max_Per_Row_Diff_Q85,Partial_Pearson_HC_Pmin_rm_Diff_Q85,Pearson_Max_Per_Row_Big_Q90,Pearson_Inverse_Min_P_Big_Q90,Pearson_HC_Pmin_rm_Big_Q90,Partial_Pearson_Max_Per_Row_Big_Q90,Partial_Pearson_HC_Pmin_rm_Big_Q90,Pearson_Max_Per_Row_Small_Q90,Pearson_HC_Pmin_rm_Small_Q90,Partial_Pearson_Max_Per_Row_Small_Q90,Partial_Pearson_HC_Pmin_rm_Small_Q90,Pearson_Max_Per_Row_Diff_Q90,Pearson_HC_Pmin_rm_Diff_Q90,Partial_Pearson_Max_Per_Row_Diff_Q90,Partial_Pearson_HC_Pmin_rm_Diff_Q90,Pearson_Max_Per_Row_Big_Q95,Pearson_Inverse_Min_P_Big_Q95,Pearson_HC_Pmin_rm_Big_Q95,Partial_Pearson_Max_Per_Row_Big_Q95,Partial_Pearson_HC_Pmin_rm_Big_Q95,Pearson_Max_Per_Row_Small_Q95,Pearson_HC_Pmin_rm_Small_Q95,Partial_Pearson_Max_Per_Row_Small_Q95,Partial_Pearson_HC_Pmin_rm_Small_Q95,Pearson_Max_Per_Row_Diff_Q95,Pearson_HC_Pmin_rm_Diff_Q95,Partial_Pearson_Max_Per_Row_Diff_Q95,Partial_Pearson_HC_Pmin_rm_Diff_Q95,Avg_HC_Max_Per_Row,Median_HC_Max_Per_Row,Avg_HC_Pmin_rm_Max_Per_Row,Median_HC_Pmin_rm_Max_Per_Row,Avg_Inverse_Min_P,Median_Inverse_Min_P
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_per_expert_standard_1_new.parquet,6.348133399701344,3.0,8.065256346441016,3.0,0.5716525634644102,0.0,0.10565096446884789,-0.0703771759412756,0.06365199938112862,0.11589782521968281,-0.07776036756753674,0.0751214052857436,0.04019566651942691,-0.028605907592121456,0.04160593340952986,0.06545529794942098,-0.04177126834915414,0.022046065971598756,0.11343299543537966,0.0672915932998295,0.1247430163768685,0.07929581346868982,0.04398202056594616,0.04345465859230282,0.04203255465643635,0.04142539624242852,0.1132160341442762,-0.04980826731941135,0.07619126047976864,0.11946002543484469,0.0799407620481465,0.12579603605586992,0.09016463624020579,0.13369216617823934,0.09504996098514507,0.07496453816431276,0.06973842780028472,0.08236947601814831,0.0746837413922089,0.034540492962800484,-0.043045717968906536,-0.00369282618125486,0.0434598758268107,0.002925655978513569,0.06324220270939272,0.02783282208212947,0.07404364599703855,0.03595666504598999,0.0972811110318525,0.09734641731352686,0.1050912082447838,0.1034839143299589,-0.011621434644269815,-0.03888380951354824,-0.0422485657629524,-0.0025000442553479614,-0.034920264971239436,0.019204650061407178,-0.0075649447741079155,0.030623210918510644,0.0017928715920820977,0.08854002098418334,0.09455877686406539,0.09680606825916414,0.10174284930657271,-0.03451860814447049,-0.03547188057496001,-0.06297135703818488,-0.0261919768722904,-0.0561793447466682,0.0014933001457580544,-0.022440073116838606,0.012071526960353322,-0.013604410931577486,0.09638445727626714,0.10491412347523521,0.10390105545300307,0.11162443743110281,-0.06382453981987007,-0.038711612514567985,-0.09416851404580327,-0.052839508428832754,-0.0849718826714345,-0.02976028931723699,-0.05467469652367034,-0.017527295452880325,-0.04427862562446047,0.08281011491404122,0.09345317241774637,0.08742708797584624,0.09770145752611403,1.6256286568272431,1.2767150889922805,1.2378378193896904,0.5976012323282274,3.58636137381782e+298,1756.0641700038973
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GMM,hc_values_per_expert_hat_1_new.parquet,7.651020408163265,3.0,11.178148332503733,5.0,0.5716525634644102,0.0,0.08597037645824558,-0.0703771759412756,0.04118286228242707,0.09418206534310421,-0.07776036756753674,0.05253550636030484,0.0322930348280811,-0.028605907592121456,0.03982946506831182,0.05367734163016448,-0.04177126834915414,0.0013533972141152456,0.09364244754023583,0.0432286772707071,0.10290043060277723,0.054891559384988464,0.03605014461678682,0.04087308259037791,0.03489707372746115,0.03898602452359968,0.09224527860436176,-0.04980826731941135,0.050600405080247136,0.09710476315490654,0.05296842350071851,0.1039946137077549,0.06577517012580533,0.11022631859152751,0.06891106760940159,0.06633095287147056,0.0669609205138581,0.07239399585027154,0.07026072034621487,0.050548010260547685,-0.043045717968906536,-0.0053068955769254265,0.05734066370716348,-0.00044049982388752706,0.07220146761496704,0.02509871199690266,0.0801979042312766,0.030971688105610025,0.07898378276796282,0.09348939072108597,0.0841993295261123,0.09767880152184075,0.014218246062371735,-0.03888380951354824,-0.0376782920192457,0.02117228243581027,-0.032001435159488875,0.035970603281628995,-0.004611366879282555,0.04421704033569902,0.002390385527124195,0.06636738930297237,0.09060236549264356,0.07130949656708867,0.09543263409370217,-0.008267774653292197,-0.03547188057496001,-0.05552050796283793,-0.0017248030186510863,-0.04998287219304148,0.016536379736142526,-0.017791463784281036,0.024227556136063335,-0.01095736298693419,0.06868018227023295,0.09811851759898883,0.07283484164777511,0.1025413611960132,-0.014204007111413921,-0.038711612514567985,-0.07898513287550474,-0.004859438894364159,-0.07092671295131743,0.0058356389813540716,-0.046162911943487504,0.01556993478806106,-0.037456177484842354,0.051674578981448165,0.0775745638356187,0.053834163454167104,0.08022902229060838,0.7863257247731975,1.0039292882210824,0.7908527188406493,0.5573357253956377,3.58636137381782e+298,1756.0641700038973
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_per_expert_standard_1_new.parquet,9.908486809357889,2.0,13.837008461921354,20.0,7.466401194624192e-05,0.0,0.004741681842560097,-0.0043077613327407865,-0.05522599948066792,0.009510144414280847,-0.00456315768212059,-0.05149492977355473,0.015951115409767135,-0.0011056684131922159,0.008826872210653109,-0.011209433567207038,-0.0032020929195485707,-0.06405287169132103,-0.040637641567944624,-0.0816353101371551,-0.03896541185995577,-0.07974639392730747,0.003046625674316925,0.0013130677483987913,0.016572540472875548,0.009084822428587127,0.028265903112833828,-0.0016304674938645688,-0.026936441586459782,-0.01811549149303085,-0.04943695839647975,0.03175836579499385,-0.024123039914841164,-0.017059870524268078,-0.047817043583374054,0.019947704443763262,0.0025012024481966552,-0.001209832102172098,-0.007699262235125921,-0.024557971517462758,-0.010500543419126152,-0.052419288545929185,-0.11140848096558328,-0.08219461165485002,-0.011807531676481544,-0.04540316318281849,-0.12650327792463756,-0.08673877484170352,0.03410493995155922,0.00988307533960972,-0.07180068485798341,-0.0324120315845216,-0.0484333723261946,-0.009071009466539492,-0.054416704006662396,-0.10004190239553219,-0.06755006226110262,-0.0385956205677211,-0.05093079645128061,-0.11850860664492133,-0.07522254861660421,0.020497416192257402,0.0007999261758639708,-0.07148155240714768,-0.034137088951838514,-0.05274341531144173,-0.0016694099167610566,-0.05066928461448818,-0.0864522064836123,-0.056819185746467306,-0.04605275988174032,-0.04805863539693295,-0.1127732549645507,-0.06646002595598227,0.011057340626815916,-0.0001341909702467681,-0.08709379565908754,-0.03558152861446162,-0.07593273977748483,-0.01502939781328172,-0.06158563316493037,-0.06996818012757312,-0.051967945337848466,-0.08409132244715482,-0.05709254272774213,-0.10803172527315578,-0.05523798144702806,-0.03139348552270486,0.0041849392347287516,-0.11073303683896323,-0.015422042169511947,-1.3638856824553816,-1.3559463781773418,0.04523379585852331,0.0,4.977600796416127e+295,22.666101511131487
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,GLM,hc_values_per_expert_hat_1_new.parquet,15.19855649576904,25.0,20.765107018417122,26.0,7.466401194624192e-05,0.0,-0.005448155338025956,-0.0043077613327407865,-0.05851989944750882,0.00248522851280544,-0.00456315768212059,-0.05511792233770544,0.025711289380535362,-0.0011056684131922159,0.007542083225118161,-0.031159444718561316,-0.0032020929195485707,-0.06606198267262699,-0.04747637598777354,-0.08194617248691766,-0.042051614955121226,-0.08021018511275267,0.014907772049045094,0.0007945674426224039,0.026237882318390714,0.007703794476523735,0.009537364808754643,-0.0016304674938645688,-0.028168489663626225,-0.03515018587366725,-0.05025416753325154,0.019272588926993538,-0.025469007570874072,-0.026985881133544536,-0.04873017012882932,0.036700532361508484,0.0017659022741920239,0.018984098947555816,-0.008254470628681976,-0.03793518759342493,-0.010500543419126152,-0.05506207053533569,-0.11754889536971803,-0.08383880447183194,-0.01900455685951174,-0.04691915941083413,-0.12067856217480073,-0.08678179726279031,0.05029920578222226,0.01278910926015081,-0.03584572325032996,-0.02778306229867015,-0.0606625819606922,-0.009071009466539492,-0.05736185324117496,-0.10840138524563979,-0.07005751743262859,-0.044240515768010386,-0.05265507376074098,-0.11433839143600978,-0.0760148198455285,0.03771823303829687,0.003875480037528864,-0.0360024379341368,-0.029513190143586353,-0.07646918595629243,-0.0016694099167610566,-0.054722979194286606,-0.11337319958774597,-0.06078859937225611,-0.0631694587277285,-0.050590698564843925,-0.1266717175982111,-0.06836466520866678,0.026175032408959027,0.0035547003629739816,-0.05420236186927476,-0.030322702391131093,-0.09061328272433468,-0.01502939781328172,-0.06311580294867451,-0.08831132158326961,-0.053656793340226154,-0.09923775436022969,-0.05758999682562339,-0.12315023438632385,-0.05574965946821779,-0.034497115218195984,0.006746765522675603,-0.10447268503702627,-0.012492830991402682,-2.226203736896106,-1.8359059815012198,0.04088358891533101,0.0,4.977600796416127e+295,22.666101511131487
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentT,hc_values_per_expert_standard_1_new.parquet,9.39641612742658,2.0,11.952264808362369,4.0,0.017645594823295172,0.0,0.08225539542069378,-0.0006798883774625567,-0.03868063280240955,0.09542583530857979,-0.0001174258717160277,-0.030875436490656487,0.0483446456622644,0.0018046790629594974,0.023229979226319013,0.03391074975842938,-0.002484567440422054,-0.061910612028728565,-0.15540793082204454,-0.16767537332391746,-0.15422452558237873,-0.16788050918522213,-0.004043180243964255,-0.00912209888133146,0.05157710756792992,0.01963140999976516,0.08506057048780012,-0.0010490591964120036,-0.01817743458612416,-0.1413349107804113,-0.14522019087933513,0.10079365939016431,-0.010049657873488146,-0.13135023863134312,-0.14348934164275104,0.07832272741505916,0.023505441885034423,-0.00239382771150302,-0.031809342796688136,0.02345301794577468,0.0010183568149348756,-0.06257830185861929,-0.05542755099583138,-0.11329609546638773,0.053451305368944664,-0.0435542834671405,-0.055435261269458934,-0.11329447131922343,0.09878773388624197,0.04496311163056955,-0.012232309052119276,-0.024949014634740387,-0.014359995534108893,0.0001884839994451135,-0.0792758073143407,-0.05434584217859871,-0.10358735717131176,0.017171211870419714,-0.06011552151848088,-0.05618097727389774,-0.10468420855202366,0.09013632547573716,0.042533054741310375,-0.014665155313749866,-0.020861374192607612,-0.03217096249972547,-0.00021474872892226983,-0.08376927157381048,-0.05407358884443123,-0.09541189582604911,0.002419750953240158,-0.06270706584115804,-0.05816086654890372,-0.09685820251895323,0.09272637439507747,0.0469717751286748,-0.019521036868662703,-0.0180820889356973,-0.07398023885641733,-0.03423156253342897,-0.10607635445178874,-0.0437541822015882,-0.08823633123782913,-0.046862403520055246,-0.08140774997217587,-0.059297738802339406,-0.08393776097533497,0.06298700423943362,0.05238390648367682,-0.047471825662425686,-8.165996469557989e-05,-0.8375508276557342,-1.0791410195802495,0.16981141176484058,0.0,42156634.51880014,28.25859171062656
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentT,hc_values_per_expert_hat_1_new.parquet,13.51254355400697,11.0,18.323519163763066,26.0,0.017645594823295172,0.0,0.07828481168355252,-0.0006798883774625567,-0.04317348303358565,0.09273273764018841,-0.0001174258717160277,-0.03491985143983796,0.05229306462850884,0.0018046790629594974,0.024423849492999337,0.025991747055043674,-0.002484567440422054,-0.06759733252658498,-0.11558117372061498,-0.1689940104845798,-0.11081588481073042,-0.16847834732909517,0.009471369011981015,-0.006873585220837101,0.05308894277057623,0.021034284089427636,0.07815827691560995,-0.0010490591964120036,-0.02099718320989766,-0.10611013872651268,-0.14363526170517882,0.09690006869677618,-0.011610521959272176,-0.09150257345287162,-0.1402130486307531,0.08697651695220296,0.027144946988068394,0.022676178650693445,-0.025576423978889287,0.028785755354679265,0.0010183568149348756,-0.06426613102408757,-0.03097587831303202,-0.11254110696081089,0.058866750422419074,-0.042425304787966744,-0.0265110507693342,-0.10852788135543007,0.10026300119049784,0.05335093205705081,0.007125012084314069,-0.012250931954121948,-0.008687523356608948,0.0001884839994451135,-0.08044202517950616,-0.035429178483003164,-0.10344110304863155,0.020411156368123996,-0.05805420220045908,-0.03612282731394614,-0.10007787384092644,0.0839745021819919,0.05181209939958855,-0.008075749493574407,-0.007663613532249173,-0.03071964784879981,-0.00021474872892226983,-0.08505797434728482,-0.04403164739293649,-0.09583403138794915,4.909282203663834e-05,-0.05990063195175416,-0.04817238513542133,-0.09167995858343207,0.08216994392658658,0.058322072844320796,-0.01820163691308389,-0.002250442781542849,-0.058352005706523394,-0.03423156253342897,-0.10815965833707673,-0.02016421934033909,-0.090759703002644,-0.04252592554896968,-0.07735583576919892,-0.04551775855847615,-0.07893228130343644,0.034836148371300266,0.06849136390102337,-0.07069123167451702,0.019789868536128755,-1.6326754660570637,-1.39467255663358,0.14459061796963055,0.0,42156634.51880014,28.25859171062656
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentTSkewed,hc_values_per_expert_standard_1_new.parquet,7.675111996017919,2.0,10.962667994026878,3.0,0.09773519163763066,0.0,0.011784862922223527,0.0055118750112092335,-0.03713656347337936,0.0139619940066615,0.0030294863033529075,-0.029969847776023077,0.007879217385468429,-0.007809127823893093,0.021229275650350526,0.003905645536755098,0.013321002835102326,-0.05836583912372989,-0.029719023447659722,-0.06794749109201326,-0.02794462345340739,-0.0606666635439255,0.003983337938788436,0.01967204651768469,0.014708531504395888,0.023773715742359834,0.007335451079246436,0.021564831744692092,-0.033501447661892184,-0.10494305112206878,-0.09752695627356439,0.008138676450408052,-0.025322700337496583,-0.10089254504181172,-0.08628497145295211,0.004815558313726773,0.019501097079805567,-0.014464494104851637,0.012666872706207966,-0.04759582869676511,0.02982406126474769,-0.08235995512199568,-0.04981362957150531,-0.0842017663807722,-0.035309134908920396,-0.0649181967045468,-0.053297181199147906,-0.07505590423217572,0.02740014102926016,0.035518109744264385,-0.02228705330614362,0.009207829646331645,-0.07519553747521744,0.03720060971253795,-0.10545383238375548,-0.05147168648095833,-0.08976024245266871,-0.060466908401042345,-0.08818625079102721,-0.05633760909901551,-0.08354307813777251,0.030222273935980315,0.03243148338325454,-0.02338005556957545,0.0024542717264142023,-0.08770167930057554,-0.0002808585895272723,-0.11612114063594217,-0.04687733399298513,-0.09001187360100495,-0.06928087300504722,-0.09787127937421372,-0.051927949229231544,-0.08560842371849964,0.03894642786209121,0.03426284704354167,-0.02137853869705956,-0.0012809363038672576,-0.11021831201321522,-0.026974429943209317,-0.13824552037302737,-0.02938552640871787,-0.09097168179050626,-0.09711946064903638,-0.12363223174428077,-0.035181777063737305,-0.08640702224531302,0.02098579746770985,0.021475159253019772,-0.019271772960234423,0.00018291656908007504,-0.14730049087139044,0.031866623791099044,0.2305396763556956,0.0,7.46640119462419e+295,69.30129787823891
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentTSkewed,hc_values_per_expert_hat_1_new.parquet,10.04151319064211,2.0,16.16254355400697,25.0,0.09773519163763066,0.0,0.011204173170527774,0.0055118750112092335,-0.046603931750156424,0.013284429121640502,0.0030294863033529075,-0.039092079980324115,0.007525127531822112,-0.007809127823893093,0.021775545957216418,0.003679045638705662,0.013321002835102326,-0.06837947770737285,-0.023223841883538116,-0.07738629738043412,-0.021550415450830265,-0.06974819457017303,0.004052689595682485,0.020261198311317737,0.013289021318854519,0.024149126471059868,0.009452330425788753,0.021564831744692092,-0.040440045660674134,-0.070647507374949,-0.10447963887856722,0.01154969062871936,-0.03133565861216463,-0.06574864113456688,-0.09220869629480734,0.009926035910453134,0.020849139031002516,-0.002153474475977644,0.014364294753826827,-0.031401419871167305,0.02982406126474769,-0.08688709884844038,-0.020985833393825416,-0.08918693680868493,-0.02112239048793835,-0.06690882487322034,-0.024024737836463375,-0.07681546235856411,0.024844877873826037,0.042384609839054795,-0.014289036665236392,0.01812275948488566,-0.05698771341554644,0.03720060971253795,-0.11017179239258626,-0.024413627156589228,-0.09538753704758551,-0.04633476134627172,-0.08948958125325521,-0.030944740357867068,-0.08478132086117919,0.02140814372095058,0.04164396812833949,-0.023505540291011033,0.014366070618849681,-0.07384912493677523,-0.0002808585895272723,-0.12148227748809307,-0.029339496062123622,-0.09669876259371091,-0.06118018728012358,-0.09910593158623562,-0.03786322870925811,-0.08693807710615305,0.024784730661692306,0.04509937825807986,-0.028504287499868778,0.012809951157914872,-0.07838293967470827,-0.026974429943209317,-0.14441325264930105,0.007091502549248899,-0.09901765387737772,-0.0739563057671141,-0.124878751655194,-0.007739443393114992,-0.08830496496002391,0.0018789188823066568,0.033825503104865824,-0.03849964459713925,0.015471643766180791,-0.6300982931862713,0.031866623791099044,0.19348908112322266,0.0,7.46640119462419e+295,69.30129787823891
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,KDE,hc_values_per_expert_standard_1_new.parquet,9.277551020408163,2.0,12.029193628670981,5.0,0.003658536585365854,0.0,0.03578253091153866,0.010098931707183094,-0.05721730590726104,0.0429274110765046,0.008110174079725353,-0.052645865616594414,0.025678553978671935,-0.0059039051455238,0.011462747981622085,0.010103976932866722,0.016002836852706894,-0.06868005388888312,-0.01114054788751495,-0.08990100071441266,-0.004919991715265963,-0.08627662276770622,0.019665094088753925,0.006394139393926468,0.02677159121647124,0.011810869209066899,0.05359209166386209,-0.002792102991586588,-0.018706355499725713,0.0031052530854706285,-0.05344352952646054,0.06226722267395646,-0.015120674133986135,0.010133365961039432,-0.051551598305845825,0.045012851269119275,0.007452575881807125,0.025368215952705598,-0.007851858876452648,-0.002438079624111734,-0.005503690157582847,-0.05061644958193379,-0.01198459972208182,-0.0575522956137465,0.018192012353347477,-0.03835992810932026,0.005054295282847642,-0.048188915235052275,0.06369767732612486,0.026616444017484787,0.05036326802227242,0.01607542923042632,-0.03587779895056731,-0.008191388126957619,-0.06370251709298265,-0.03624087952309176,-0.06391319963435393,-0.01771157986559903,-0.05415521618307471,-0.019898761322964288,-0.055960003693305276,0.0471417075551449,0.016995218334109954,0.04172872096773127,0.012275521647296847,-0.05435586138683741,-0.015193654429531592,-0.07104971860281334,-0.070553940073628,-0.07212344002867571,-0.03494125155462301,-0.06104342448990218,-0.07543124812238325,-0.07513037074677736,0.046677335656732676,0.0176948146487279,-0.024250869570998212,-0.019197555622049264,-0.07388320180823577,0.0035850781810506833,-0.07734930309794441,-0.053591675471678896,-0.060978262486901975,-0.06283923195461912,-0.06819869857634286,-0.06801321935937478,-0.06260132595359426,0.020107133667063636,0.01461554801319423,-0.04547402871614921,-0.012229363857312306,-0.6185694559441296,-0.6468775862037031,0.20207332309860604,0.0,7.46640119462419e+295,40.40093829961208
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,KDE,hc_values_per_expert_hat_1_new.parquet,12.153907416625186,5.0,17.167844698855152,25.0,0.003658536585365854,0.0,0.032693011634137736,0.010098931707183094,-0.06320300478994995,0.04015451389197558,0.008110174079725353,-0.05817126831344954,0.026526625165710607,-0.0059039051455238,0.01260300680919297,0.00616638646842713,0.016002836852706894,-0.07580601159914291,-0.010236863781515101,-0.0956426813378095,-0.0036529299554105142,-0.09152242493931997,0.02090821094729311,0.007667112719348738,0.02746644004541659,0.012949533846716993,0.040659964963665605,-0.002792102991586588,-0.025131366210123796,-0.007638709887784252,-0.0593836056681688,0.052133570996454826,-0.020220519106180106,0.0027244875211820314,-0.056040149313049376,0.0512844139994596,0.010340129885571304,0.0341018729696381,-0.004392588634875974,-0.0024274859705990534,-0.005503690157582847,-0.054577407375467166,-0.011113982664420641,-0.06157547078501459,0.020268713478503935,-0.0405681324168925,0.008339747788089021,-0.050368788426067894,0.07013518447813705,0.031171124350871958,0.05808576811465282,0.020903202596976037,-0.030370843923441204,-0.008191388126957619,-0.06932451244138255,-0.030096255563027623,-0.06967934311315531,-0.009415440041681072,-0.0573767410640121,-0.010723223965361435,-0.0592607418797625,0.05629071786453789,0.02307162578652035,0.05170128170648797,0.01851894126956528,-0.05352993051714941,-0.015193654429531592,-0.07409533271184798,-0.06439872958024741,-0.07521351938600324,-0.03331673272561496,-0.06145799899573752,-0.06575504493458656,-0.07486545570168028,0.04905001454847592,0.024659263161443953,-0.01338658231433078,-0.010173923272943206,-0.06495410885322889,0.0035850781810506833,-0.07547044008224887,-0.03904778507898703,-0.059046648512377835,-0.05754047274637569,-0.06497105710394893,-0.05681588827699231,-0.05902446474622669,0.01155136479173104,0.01845278836334594,-0.052534505767833646,-0.0075828598526823275,-1.1827579632361085,-0.7975473946724959,0.16805882768852787,0.0,7.46640119462419e+295,40.40093829961208
